State_Year,Year,State,Sheltered_Cnt,Unsheltered_Cnt,Other_Cnt
2016_ME,2016,ME,5138,384,5522
2016_MI,2016,MI,20748,2591,23339
2016_MN,2016,MN,16690,2362,19052
2016_MO,2016,MO,13903,3756,17659
2016_MS,2016,MS,1999,2208,4207
2016_MT,2016,MT,1874,1667,3541
2016_NC,2016,NC,17701,6137,23838
2016_ND,2016,ND,1709,685,2394
2016_NE,2016,NE,6497,284,6781
2016_NH,2016,NH,3262,440,3702
2016_NJ,2016,NJ,18010,3921,21931
2016_NM,2016,NM,4901,1564,6465
2016_NV,2016,NV,8216,11579,19795
2016_NY,2016,NY,187298,11927,199225
2016_OH,2016,OH,22139,3189,25328
2016_OK,2016,OK,7918,3036,10954
2016_OR,2016,OR,13322,24200,37522
2016_PA,2016,PA,33317,4760,38077
2016_PR,2016,PR,3294,9663,12957
2016_RI,2016,RI,2816,82,2898
2016_SC,2016,SC,8532,4988,13520
2016_SD,2016,SD,2148,421,2569
2016_TN,2016,TN,14342,8804,23146
2016_TX,2016,TX,39573,19518,59091
2016_UT,2016,UT,6141,552,6693
2016_VA,2016,VA,13473,2158,15631
2016_VI,2016,VI,196,586,782
2016_VT,2016,VT,2437,444,2881
2016_WA,2016,WA,30103,21828,51931
2016_WI,2016,WI,12723,1105,13828
2016_WV,2016,WV,3103,407,3510
2016_WY,2016,WY,1190,902,2092
